Weights of ConvLayers:
dense_218/bias:0,"(32,)"
dense_219/kernel:0,"(32, 1)"
dense_219/bias:0,"(1,)"
dense_220/kernel:0,"(8, 32)"
dense_220/bias:0,"(32,)"
dense_221/kernel:0,"(32, 1)"
dense_221/bias:0,"(1,)"
dense_222/kernel:0,"(8, 32)"
dense_222/bias:0,"(32,)"
dense_223/kernel:0,"(32, 1)"
dense_223/bias:0,"(1,)"
dense_224/kernel:0,"(8, 32)"
dense_224/bias:0,"(32,)"
dense_225/kernel:0,"(32, 1)"
dense_225/bias:0,"(1,)"
dense_226/kernel:0,"(8, 32)"
dense_226/bias:0,"(32,)"
dense_227/kernel:0,"(32, 1)"
dense_227/bias:0,"(1,)"
dense_228/kernel:0,"(8, 32)"
dense_228/bias:0,"(32,)"
dense_229/kernel:0,"(32, 1)"
dense_229/bias:0,"(1,)"
dense_230/kernel:0,"(8, 32)"
dense_230/bias:0,"(32,)"
dense_231/kernel:0,"(32, 1)"
dense_231/bias:0,"(1,)"
dense_232/kernel:0,"(8, 32)"
dense_232/bias:0,"(32,)"
dense_233/kernel:0,"(32, 1)"
dense_233/bias:0,"(1,)"
dense_234/kernel:0,"(8, 32)"
dense_234/bias:0,"(32,)"
dense_235/kernel:0,"(32, 1)"
dense_235/bias:0,"(1,)"
dense_236/kernel:0,"(8, 32)"
dense_236/bias:0,"(32,)"
dense_237/kernel:0,"(32, 1)"
dense_237/bias:0,"(1,)"
dense_238/kernel:0,"(8, 32)"
dense_238/bias:0,"(32,)"
dense_239/kernel:0,"(32, 1)"
dense_239/bias:0,"(1,)"
dense_240/kernel:0,"(8, 32)"
dense_240/bias:0,"(32,)"
dense_241/kernel:0,"(32, 1)"
dense_241/bias:0,"(1,)"
dense_242/kernel:0,"(8, 32)"
dense_242/bias:0,"(32,)"
dense_243/kernel:0,"(32, 1)"
dense_243/bias:0,"(1,)"
dense_244/kernel:0,"(8, 32)"
dense_244/bias:0,"(32,)"
dense_245/kernel:0,"(32, 1)"
dense_245/bias:0,"(1,)"
dense_246/kernel:0,"(8, 32)"
dense_246/bias:0,"(32,)"
dense_247/kernel:0,"(32, 1)"
dense_247/bias:0,"(1,)"
dense_248/kernel:0,"(8, 32)"
dense_248/bias:0,"(32,)"
dense_249/kernel:0,"(32, 1)"
dense_249/bias:0,"(1,)"
dense_250/kernel:0,"(8, 32)"
dense_250/bias:0,"(32,)"
dense_251/kernel:0,"(32, 1)"
dense_251/bias:0,"(1,)"
dense_252/kernel:0,"(8, 32)"
dense_252/bias:0,"(32,)"
dense_253/kernel:0,"(32, 1)"
dense_253/bias:0,"(1,)"
dense_254/kernel:0,"(8, 32)"
dense_254/bias:0,"(32,)"
dense_255/kernel:0,"(32, 1)"
dense_255/bias:0,"(1,)"
